PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
CLOUD_AMT,2014,59.89,44.85,22.92,35.53,26.83,16.55,18.05,25.12,19.82,29.08,24.14,36.69,29.96
CLOUD_AMT,2015,43.27,55.5,36.83,27.78,16.67,23.23,19.57,23.32,18.76,25.97,30.7,28.51,29.18
CLOUD_AMT,2016,23.31,35.24,51.53,34.51,22.81,23.74,29.9,18.94,14.3,25.76,28.53,32.91,28.46
CLOUD_AMT,2017,45.06,52.06,39.0,34.31,32.92,30.95,21.77,28.02,21.81,32.84,46.36,46.33,35.95
CLOUD_AMT,2018,37.01,46.33,22.65,31.33,29.81,27.38,22.1,19.18,27.6,36.7,34.35,38.7,31.1
CLOUD_AMT,2019,73.73,37.55,54.92,33.67,29.72,27.38,24.02,20.05,30.16,28.9,38.8,35.72,36.22
CLOUD_AMT,2020,41.77,35.55,30.89,32.48,27.36,26.36,21.96,21.53,27.13,25.22,27.35,48.56,30.51
CLOUD_AMT,2021,39.01,63.32,34.79,30.67,31.12,27.74,29.05,20.34,26.19,37.98,40.45,48.49,35.76
CLOUD_AMT,2022,35.56,47.07,36.99,45.76,29.07,27.96,21.8,28.87,22.07,35.63,44.66,52.99,35.7
CLOUD_AMT,2023,59.23,56.5,58.29,28.54,32.94,24.02,24.94,28.31,22.34,43.21,38.22,47.04,38.63
CLOUD_AMT,2024,38.37,51.54,42.26,36.26,18.53,24.22,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
